Project Name,Type,Sector,Sub-Sector,Location,Project Authority,Status,Total Project Cost (in Rs Crore),Date Of Award
Two laning of Hunli-Anini road from 21.5 Km to 37.5 Km in Dibang Valley district,Government Infrastructure Projects (Traditional Procurement),Transport,Roads and bridges,Arunachal Pradesh,National Highways and Infrastructure Development Corporation Limited,Pre-construction Stage,322.15,06-May-2016
Two laning of Hunli-Anini road from 37.5 Km to 53.5 Km in Dibang Valley district,Government Infrastructure Projects (Traditional Procurement),Transport,Roads and bridges,Arunachal Pradesh,National Highways and Infrastructure Development Corporation Limited,Pre-construction Stage,259.52,06-May-2016
Two laning of Hunli-Anini road in length of 39.0 Km in Dibang Valley district,Government Infrastructure Projects (Traditional Procurement),Transport,Roads and bridges,Arunachal Pradesh,National Highways and Infrastructure Development Corporation Limited,Pre-construction Stage,375.08,27-Dec-2016
"Upgradation Mangasuli-Laxmeshwar Road, Arabhavi-Challakere Road  & Sidhanur-Hemmadaga Road  in Dharwad & Uttara Kannada",Government Infrastructure Projects (Traditional Procurement),Transport,Roads and bridges,Karnataka,"Public Works, Ports and Inland Water Transport Department, Karnataka",Completed,54.54,26-Dec-2013
"Upgradation of Alamatti-Muddebihal Road, Sindagi-Kodangal Road of SH-16 & Sankeshwar-Sangam Road of SH-44 in Bijapur",Government Infrastructure Projects (Traditional Procurement),Transport,Roads and bridges,Karnataka,"Public Works, Ports and Inland Water Transport Department, Karnataka",Completed,56.38,28-Dec-2013
Upgradation of Bagalkot-Biligiri Rangana Betta Road of SH-57 & Kadur-Srirampura via Maravangi of SH-152 in Chikkamagaluru,Government Infrastructure Projects (Traditional Procurement),Transport,Roads and bridges,Karnataka,"Public Works, Ports and Inland Water Transport Department, Karnataka",Under Construction,64.37,29-Jun-2016
Upgradation of Bagepalli-Halagur Road of SH-94 in Chikaballapur District,Government Infrastructure Projects (Traditional Procurement),Transport,Roads and bridges,Karnataka,"Public Works, Ports and Inland Water Transport Department, Karnataka",Pre-construction Stage,50.42,29-Jun-2016
Upgradation of Baramulla-Gulmarg in length of 39.0 km,Government Infrastructure Projects (Traditional Procurement),Transport,Roads and bridges,Jammu & Kashmir,National Highways and Infrastructure Development Corporation Limited,Pre-construction Stage,390.00,11-Nov-2016
"Upgradation of Barked-Biligi Road, Aurad-Sadhashivagad Road & Tikota-Kanmadagi Road in Vijayapura",Government Infrastructure Projects (Traditional Procurement),Transport,Roads and bridges,Karnataka,"Public Works, Ports and Inland Water Transport Department, Karnataka",Under Construction,134.45,24-Jun-2016
"Upgradation of Basavakalyan-Raichur Road of SH-51, Bhalki-Chincholi Road of SH-75 & Sindagi-Kodangal Road of SH-16",Government Infrastructure Projects (Traditional Procurement),Transport,Roads and bridges,Karnataka,"Public Works, Ports and Inland Water Transport Department, Karnataka",Completed,59.70,26-Dec-2013
"Upgradation of Bellary-Badanahatti Road, Hagari Farm-Rayapura Road, Ekkumbi-Molakalmuru Road and Mylar-Toranagal Road in Bellary",Government Infrastructure Projects (Traditional Procurement),Transport,Roads and bridges,Karnataka,"Public Works, Ports and Inland Water Transport Department, Karnataka",Under Construction,58.80,30-Jun-2016
Upgradation of Gajendragada-Sorab Road of SH-136 and Karwar-Kaiga-IIkal Road of SH-06 in Gadag & Haveri District,Government Infrastructure Projects (Traditional Procurement),Transport,Roads and bridges,Karnataka,"Public Works, Ports and Inland Water Transport Department, Karnataka",Under Construction,78.88,17-Jun-2016
"Upgradation of Holenarasipura-K. R Nagara of SH-108, Hirisave-Chattahalli Road of SH-08  Upparhosalli-Tyavihalli-Basthihalli MDR",Government Infrastructure Projects (Traditional Procurement),Transport,Roads and bridges,Karnataka,"Public Works, Ports and Inland Water Transport Department, Karnataka",Under Construction,50.00,23-Jun-2016
"Upgradation of Hospet-Shimoga Road, Bhatkal-Soraba Road & Halagerei-Hulikal Road in Devanagere & Shimoga",Government Infrastructure Projects (Traditional Procurement),Transport,Roads and bridges,Karnataka,"Public Works, Ports and Inland Water Transport Department, Karnataka",Under Construction,54.73,15-Jun-2016
"Upgradation of Hubli-Kundgol Road Via Bidnal, Sulla-Bengeri Road, Unkal-Hebbali Road and Mundgodu-Anasi Road",Government Infrastructure Projects (Traditional Procurement),Transport,Roads and bridges,Karnataka,"Public Works, Ports and Inland Water Transport Department, Karnataka",Pre-construction Stage,75.47,17-Jun-2016
Upgradation of Hunasanahalli-Chikkahalli Road of SH-3 & Sathanur-Muttathi MDR via Kabbal in Ramanagara,Government Infrastructure Projects (Traditional Procurement),Transport,Roads and bridges,Karnataka,"Public Works, Ports and Inland Water Transport Department, Karnataka",Pre-construction Stage,57.47,30-Jun-2016
Upgradation of Hunasanahalli-Chikkahalli Road of SH-3 & Sathanur-Muttathi MDR via Kabbal in Ramanagara District.,Government Infrastructure Projects (Traditional Procurement),Transport,Roads and bridges,Karnataka,"Public Works, Ports and Inland Water Transport Department, Karnataka",Pre-construction Stage,57.47,30-Jun-2016
Upgradation of Jammu-Akhnoor section in length of 35 km,Government Infrastructure Projects (Traditional Procurement),Transport,Roads and bridges,Jammu & Kashmir,National Highways and Infrastructure Development Corporation Limited,Pre-construction Stage,700.00,08-Nov-2016
"Upgradation of Kagawadi-Kaladagi Road, Mangasuli-Laxmeshwar Road, Badami-Godachi-Godak Road & Jambooti-Rabakavi Road",Government Infrastructure Projects (Traditional Procurement),Transport,Roads and bridges,Karnataka,"Public Works, Ports and Inland Water Transport Department, Karnataka",Under Construction,51.24,29-Jun-2016
Upgradation of Kalmala-Shiggaon Road of SH-23 and Mangasuli-Laxmeshwar Road of SH-73 in Belgaum & Gadag district,Government Infrastructure Projects (Traditional Procurement),Transport,Roads and bridges,Karnataka,"Public Works, Ports and Inland Water Transport Department, Karnataka",Completed,69.89,26-Dec-2013
Upgradation of Karwar-Ilkal road in length of 103.9 km in Gadag district,Government Infrastructure Projects (Traditional Procurement),Transport,Roads and bridges,Karnataka,"Public Works, Ports and Inland Water Transport Department, Karnataka",Completed,50.49,18-Oct-2012
Upgradation of Kochigaon-Birpara road in length of 123.0 km,Government Infrastructure Projects (Traditional Procurement),Transport,Roads and bridges,West Bengal,National Highways and Infrastructure Development Corporation Limited,Pre-construction Stage,"1,230.00",18-Oct-2016
"Upgradation of Kudligere-Kammarghatta Road of SH-115, Tumkur-Honnavar Road of SH-116 & Haranahalli-Kumsi Road in Shimoga",Government Infrastructure Projects (Traditional Procurement),Transport,Roads and bridges,Karnataka,"Public Works, Ports and Inland Water Transport Department, Karnataka",Under Construction,59.51,10-Jun-2016
"Upgradation of Malpe-Malkalmur Road, Arabhavi-Challakere Road & Davanagere-Holalu Road in Davanagere",Government Infrastructure Projects (Traditional Procurement),Transport,Roads and bridges,Karnataka,"Public Works, Ports and Inland Water Transport Department, Karnataka",Under Construction,63.55,15-Jun-2016
"Upgradation of Managuli-Bichal Road, Deodurg-Bellary Road and Raravi-Belur Road in Raichur",Government Infrastructure Projects (Traditional Procurement),Transport,Roads and bridges,Karnataka,"Public Works, Ports and Inland Water Transport Department, Karnataka",Under Construction,52.88,30-Jun-2016
"Upgradation of Mandya-Hadagali Road of SH-47, Virajpet-Byndoor Road of SH-27 & Belur-Somwarpet Road in Hassan district",Government Infrastructure Projects (Traditional Procurement),Transport,Roads and bridges,Karnataka,"Public Works, Ports and Inland Water Transport Department, Karnataka",Completed,81.40,28-Dec-2013
"Upgradation of Mudugal-Kudithini Road of SH-29, Sandur-Sriguppa Road of SH-49 & Raravi-Belur Road of SH-63",Government Infrastructure Projects (Traditional Procurement),Transport,Roads and bridges,Karnataka,"Public Works, Ports and Inland Water Transport Department, Karnataka",Under Construction,57.58,30-Jun-2016
"Upgradation of Muthigehiralli-Banakuppe Road, Gandsi-Santhemydana-Nonavinakere Road & Hyarane-Padavalahippe Road",Government Infrastructure Projects (Traditional Procurement),Transport,Roads and bridges,Karnataka,"Public Works, Ports and Inland Water Transport Department, Karnataka",Completed,58.20,01-Jan-2014
"Upgradation of Padubidre-Chikkalaguda Road of SH-01, Subramanya-Udupi Road of SH-37 & Mangalore-Athradi Road of SH-67",Government Infrastructure Projects (Traditional Procurement),Transport,Roads and bridges,Karnataka,"Public Works, Ports and Inland Water Transport Department, Karnataka",Pre-construction Stage,75.45,17-Jun-2016
Upgradation of Punch-Uri section in length of 67.0 km,Government Infrastructure Projects (Traditional Procurement),Transport,Roads and bridges,Jammu & Kashmir,National Highways and Infrastructure Development Corporation Limited,Pre-construction Stage,670.00,11-Nov-2016
Upgradation of Sankeshwar-Sangam Road of SH-44 & Kagawadi-Kaladagi Road of SH-53 in Bagalkot District,Government Infrastructure Projects (Traditional Procurement),Transport,Roads and bridges,Karnataka,"Public Works, Ports and Inland Water Transport Department, Karnataka",Under Construction,75.37,24-Jun-2016
"Upgradation of Sindhanur-Hemmadaga Road, Munoli-Sapatla-Sattigeri Road & Yargatti-Mudhol Road in Belagavi",Government Infrastructure Projects (Traditional Procurement),Transport,Roads and bridges,Karnataka,"Public Works, Ports and Inland Water Transport Department, Karnataka",Under Construction,75.65,17-Jun-2016
Upgradation of Srirangapatna-Jewargi Road of SH-19 and Khanapur-Talaguppa Road of SH-93 in Yadgir & Uttara Kannada district,Government Infrastructure Projects (Traditional Procurement),Transport,Roads and bridges,Karnataka,"Public Works, Ports and Inland Water Transport Department, Karnataka",Completed,56.71,26-Dec-2013
Upgradation of various roads in length of 102.7 km in Hassan district,Government Infrastructure Projects (Traditional Procurement),Transport,Roads and bridges,Karnataka,"Public Works, Ports and Inland Water Transport Department, Karnataka",Completed,57.73,16-Nov-2012
Upgradation of various roads in length of 105.7 km in Shivamogga district,Government Infrastructure Projects (Traditional Procurement),Transport,Roads and bridges,Karnataka,"Public Works, Ports and Inland Water Transport Department, Karnataka",Completed,58.87,08-Nov-2012
Upgradation of various roads in length of 106 km in Haveri district,Government Infrastructure Projects (Traditional Procurement),Transport,Roads and bridges,Karnataka,"Public Works, Ports and Inland Water Transport Department, Karnataka",Completed,61.42,17-Oct-2012
Upgradation of various roads in length of 119.6 km in Hassan district,Government Infrastructure Projects (Traditional Procurement),Transport,Roads and bridges,Karnataka,"Public Works, Ports and Inland Water Transport Department, Karnataka",Completed,51.85,16-Nov-2012
Upgradation of various roads in length of 132.5 km in Mangalore district,Government Infrastructure Projects (Traditional Procurement),Transport,Roads and bridges,Karnataka,"Public Works, Ports and Inland Water Transport Department, Karnataka",Completed,72.06,15-Nov-2012
Upgradation of various roads in length of 153.1 km in Bellary district,Government Infrastructure Projects (Traditional Procurement),Transport,Roads and bridges,Karnataka,"Public Works, Ports and Inland Water Transport Department, Karnataka",Completed,91.01,25-Oct-2012
Upgradation of various roads in length of 153.5 km in Mandya district,Government Infrastructure Projects (Traditional Procurement),Transport,Roads and bridges,Karnataka,"Public Works, Ports and Inland Water Transport Department, Karnataka",Completed,69.04,25-Oct-2012
Upgradation of various roads in length of 155 km in Bidar district,Government Infrastructure Projects (Traditional Procurement),Transport,Roads and bridges,Karnataka,"Public Works, Ports and Inland Water Transport Department, Karnataka",Completed,74.52,01-Dec-2012
Upgradation of various roads in length of 158 km in Gulbarga district,Government Infrastructure Projects (Traditional Procurement),Transport,Roads and bridges,Karnataka,"Public Works, Ports and Inland Water Transport Department, Karnataka",Completed,96.62,01-Nov-2012
